source_scan,fourier_number,spatial_points,quantum_steps_nt,status,strict_accuracy_passed_1_0,physics_audit_passed_1_0,max_abs_error_k,rmse_k,relative_l2_error,runtime_s,min_temperature_k,max_temperature_k
working_region_grid,0.06,64,64,success,1,1,0.6955588627693956,0.4807594406403581,0.012197055823621728,59.52497726306319,2.6680340990424156,54.60187792778015
working_region_grid,0.06,64,128,success,1,1,0.23936875351646592,0.1663597475435163,0.0042206121316914385,117.31962949223816,2.667987160384655,55.05722165107727
working_region_gapfill,0.07,32,1,success,0,0,83.63062352586269,75.60337212815189,2.1009524091751772,1.5352455889806151,63.97475004196167,133.68773460388184
working_region_gapfill,0.07,32,2,success,0,0,90.73244542527675,61.71547359783681,1.7150197046631637,2.2429859158582985,-2.711682580411434,140.7895565032959
working_region_gapfill,0.07,32,4,success,0,0,23.006386452431677,16.362149223648103,0.45468999415049705,3.367398933041841,3.674626350402832,27.050724625587463
working_region_gapfill,0.07,32,8,success,0,1,4.081515365357397,2.8897570830014403,0.08030385331452965,5.688114443793893,4.649537429213524,45.97559571266174
working_region_gapfill,0.07,32,16,success,1,1,0.8898684318017942,0.6249157062673798,0.01736586770744022,10.317278382834047,4.755650088191032,49.167242646217346
working_region_gapfill,0.07,32,32,success,1,1,0.16478984903812233,0.11473366213905431,0.0031883493698659894,19.494318432174623,4.767308011651039,49.89232122898102
working_region_fo,0.08,32,1,success,0,0,71.32001246297102,51.05198697442702,1.565852482629802,1.5315628480166197,13.0855992436409,116.67265892028809
working_region_fo,0.08,32,2,success,0,0,67.77379835927229,50.465999896164455,1.5478792483706527,2.085277538280934,-0.6505255587399006,113.12644481658936
working_region_fo,0.08,32,4,success,0,0,33.13852133381005,24.350012689393036,0.7468568821983878,3.5043383059091866,1.4565124176442623,12.859967350959778
working_region_fo,0.08,32,8,success,0,1,5.916270362498949,4.139840189412286,0.12697603800473062,5.906901855021715,4.247438907623291,39.436376094818115
working_region_fo,0.08,32,16,success,0,1,1.3502535692479114,0.9435651835945335,0.02894077141394412,10.456780195236206,4.305703565478325,44.00239288806915
working_region_fo,0.08,32,32,success,1,1,0.3491875997807483,0.24095913692752266,0.007390632277629003,20.161349339410663,4.308732971549034,45.003458857536316
working_region_fo,0.08,32,64,success,1,1,0.18044685042161746,0.12654865065722254,0.003881465356173582,38.6903978199698,4.304884001612663,45.17219960689545
working_region_fo,0.1,32,1,success,0,0,54.54042917882026,39.262007015326496,1.4670232148311377,1.5245574661530554,9.284819662570953,91.76899790763855
working_region_fo,0.1,32,2,success,0,0,55.127493206606516,38.8722149233037,1.4524586499648582,2.4007882117293775,-0.18111418467015028,92.3560619354248
working_region_fo,0.1,32,4,success,0,0,36.520651330487006,26.706643700042157,0.9978926009282051,3.4882961492985487,-0.745400320738554,0.9443903341889381
working_region_fo,0.1,32,8,success,0,0,9.644221599950185,6.759861690529959,0.2525819432812977,5.7504808232188225,3.2369107007980347,27.584347128868103
working_region_fo,0.1,32,16,success,0,1,2.2373341878789574,1.5732117844906375,0.058782991118939705,10.550954424776137,3.48069928586483,34.99123454093933
working_region_fo,0.1,32,32,success,1,1,0.6247156223195702,0.4477435451897529,0.016729918438141762,19.816657518036664,3.510851413011551,36.60385310649872
working_region_fo,0.1,32,64,success,1,1,0.26002758349358146,0.1878379063581794,0.007018555346525118,39.331294796895236,3.522942215204239,36.96854114532471
